"x1","x2","y","presentation_group","row_id","sampled_positive"
1,0,1,1,1,TRUE
0,1,1,1,2,FALSE
0,1,1,1,3,FALSE
1,0,0,1,4,FALSE
0,0,0,1,5,FALSE
0,1,1,2,6,TRUE
1,1,0,2,7,FALSE
0,1,1,2,8,FALSE
0,0,0,2,9,FALSE
0,0,0,2,10,FALSE
0,1,1,3,11,TRUE
1,0,0,3,12,FALSE
0,0,0,3,13,FALSE
0,1,1,3,14,FALSE
0,1,1,3,15,FALSE
0,1,1,4,16,FALSE
1,0,0,4,17,FALSE
0,1,1,4,18,TRUE
0,1,1,4,19,FALSE
1,0,1,4,20,FALSE
0,0,0,5,21,FALSE
1,0,1,5,22,FALSE
0,1,1,5,23,FALSE
1,0,1,5,24,FALSE
0,1,1,5,25,TRUE
1,0,0,6,26,FALSE
1,0,1,6,27,FALSE
1,0,1,6,28,TRUE
1,1,0,6,29,FALSE
1,0,1,6,30,FALSE
0,1,1,7,31,FALSE
1,0,0,7,32,FALSE
0,0,0,7,33,FALSE
1,0,0,7,34,FALSE
1,0,1,7,35,TRUE
1,0,0,8,36,FALSE
0,0,0,8,37,FALSE
0,0,0,8,38,FALSE
1,0,0,8,39,FALSE
1,0,0,8,40,FALSE
1,0,1,9,41,FALSE
1,0,1,9,42,FALSE
1,0,1,9,43,FALSE
0,1,1,9,44,TRUE
0,1,1,9,45,FALSE
1,0,1,10,46,TRUE
1,0,0,10,47,FALSE
1,0,0,10,48,FALSE
1,0,0,10,49,FALSE
1,0,1,10,50,FALSE
1,0,0,11,51,FALSE
0,0,0,11,52,FALSE
0,1,1,11,53,TRUE
1,0,0,11,54,FALSE
0,0,0,11,55,FALSE
0,0,0,12,56,FALSE
0,0,0,12,57,FALSE
1,0,1,12,58,FALSE
1,0,1,12,59,TRUE
1,0,1,12,60,FALSE
0,1,1,13,61,TRUE
1,1,0,13,62,FALSE
1,0,0,13,63,FALSE
1,0,0,13,64,FALSE
0,0,0,13,65,FALSE
1,0,1,14,66,FALSE
0,0,0,14,67,FALSE
0,0,0,14,68,FALSE
0,1,1,14,69,TRUE
0,1,1,14,70,FALSE
1,0,1,15,71,FALSE
1,0,1,15,72,TRUE
0,1,1,15,73,FALSE
1,0,1,15,74,FALSE
1,0,1,15,75,FALSE
1,0,0,16,76,FALSE
0,0,0,16,77,FALSE
0,1,1,16,78,TRUE
0,0,0,16,79,FALSE
1,0,0,16,80,FALSE
1,0,1,17,81,FALSE
0,0,0,17,82,FALSE
0,1,1,17,83,FALSE
1,0,0,17,84,FALSE
1,0,1,17,85,TRUE
1,0,1,18,86,FALSE
1,0,1,18,87,FALSE
0,0,0,18,88,FALSE
0,0,0,18,89,FALSE
0,1,1,18,90,TRUE
0,0,0,19,91,FALSE
0,0,0,19,92,FALSE
1,0,1,19,93,TRUE
1,0,1,19,94,FALSE
0,0,0,19,95,FALSE
0,1,1,20,96,FALSE
1,0,0,20,97,FALSE
1,0,1,20,98,FALSE
1,0,1,20,99,FALSE
0,1,1,20,100,TRUE
0,1,1,21,101,FALSE
1,0,1,21,102,TRUE
1,0,0,21,103,FALSE
1,0,1,21,104,FALSE
1,1,0,21,105,FALSE
0,1,1,22,106,TRUE
1,1,0,22,107,FALSE
1,0,0,22,108,FALSE
1,0,1,22,109,FALSE
0,1,1,22,110,FALSE
1,1,0,23,111,FALSE
1,0,0,23,112,FALSE
0,1,1,23,113,TRUE
0,0,0,23,114,FALSE
1,0,1,23,115,FALSE
1,0,1,24,116,FALSE
0,1,1,24,117,TRUE
1,0,0,24,118,FALSE
1,0,1,24,119,FALSE
0,0,0,24,120,FALSE
0,0,0,25,121,FALSE
1,0,1,25,122,FALSE
0,1,1,25,123,FALSE
1,0,0,25,124,FALSE
1,0,1,25,125,TRUE
0,1,1,26,126,FALSE
1,0,1,26,127,TRUE
1,1,0,26,128,FALSE
1,1,0,26,129,FALSE
0,0,0,26,130,FALSE
1,1,0,27,131,FALSE
0,1,1,27,132,TRUE
1,0,0,27,133,FALSE
0,1,1,27,134,FALSE
1,1,0,27,135,FALSE
1,0,1,28,136,TRUE
0,1,1,28,137,FALSE
1,0,0,28,138,FALSE
0,1,1,28,139,FALSE
0,1,1,28,140,FALSE
1,0,0,29,141,FALSE
1,0,1,29,142,FALSE
0,1,1,29,143,FALSE
0,1,1,29,144,TRUE
0,1,1,29,145,FALSE
0,1,1,30,146,TRUE
0,0,0,30,147,FALSE
0,0,0,30,148,FALSE
0,0,0,30,149,FALSE
1,0,1,30,150,FALSE
1,0,0,31,151,FALSE
1,0,0,31,152,FALSE
1,1,0,31,153,FALSE
1,0,0,31,154,FALSE
1,0,0,31,155,FALSE
0,0,0,32,156,FALSE
0,1,1,32,157,TRUE
0,0,0,32,158,FALSE
0,0,0,32,159,FALSE
0,0,0,32,160,FALSE
1,0,1,33,161,FALSE
0,0,0,33,162,FALSE
0,1,1,33,163,TRUE
0,0,0,33,164,FALSE
0,0,0,33,165,FALSE
1,0,1,34,166,FALSE
0,1,1,34,167,FALSE
1,0,1,34,168,TRUE
0,0,0,34,169,FALSE
1,1,0,34,170,FALSE
1,0,0,35,171,FALSE
0,1,1,35,172,FALSE
1,0,0,35,173,FALSE
0,0,0,35,174,FALSE
0,1,1,35,175,TRUE
0,1,1,36,176,FALSE
0,1,1,36,177,FALSE
0,0,0,36,178,FALSE
0,1,1,36,179,TRUE
0,1,1,36,180,FALSE
0,1,1,37,181,TRUE
1,1,0,37,182,FALSE
1,0,0,37,183,FALSE
0,0,0,37,184,FALSE
0,1,1,37,185,FALSE
0,1,1,38,186,FALSE
1,0,1,38,187,FALSE
0,1,1,38,188,TRUE
0,0,0,38,189,FALSE
1,0,0,38,190,FALSE
1,0,0,39,191,FALSE
1,0,0,39,192,FALSE
1,0,1,39,193,TRUE
1,0,1,39,194,FALSE
1,0,0,39,195,FALSE
1,1,0,40,196,FALSE
1,0,1,40,197,FALSE
1,0,0,40,198,FALSE
0,1,1,40,199,TRUE
0,0,0,40,200,FALSE
0,1,1,41,201,FALSE
0,1,1,41,202,FALSE
0,1,1,41,203,FALSE
0,0,0,41,204,FALSE
1,0,1,41,205,TRUE
1,0,0,42,206,FALSE
1,0,0,42,207,FALSE
1,0,0,42,208,FALSE
1,1,0,42,209,FALSE
1,0,0,42,210,FALSE
1,0,1,43,211,TRUE
1,1,0,43,212,FALSE
0,1,1,43,213,FALSE
1,0,0,43,214,FALSE
0,0,0,43,215,FALSE
0,1,1,44,216,FALSE
1,0,0,44,217,FALSE
1,0,1,44,218,TRUE
1,1,0,44,219,FALSE
0,1,1,44,220,FALSE
1,0,1,45,221,FALSE
0,1,1,45,222,TRUE
0,0,0,45,223,FALSE
0,0,0,45,224,FALSE
1,0,0,45,225,FALSE
1,0,1,46,226,FALSE
0,1,1,46,227,TRUE
1,0,0,46,228,FALSE
0,0,0,46,229,FALSE
1,1,0,46,230,FALSE
0,1,1,47,231,TRUE
0,0,0,47,232,FALSE
1,0,1,47,233,FALSE
0,0,0,47,234,FALSE
1,0,0,47,235,FALSE
0,1,1,48,236,TRUE
0,0,0,48,237,FALSE
0,0,0,48,238,FALSE
1,0,1,48,239,FALSE
1,0,0,48,240,FALSE
0,0,0,49,241,FALSE
0,0,0,49,242,FALSE
1,0,1,49,243,TRUE
1,1,0,49,244,FALSE
0,0,0,49,245,FALSE
1,0,0,50,246,FALSE
1,0,0,50,247,FALSE
1,1,0,50,248,FALSE
0,0,0,50,249,FALSE
1,0,1,50,250,TRUE
1,0,0,51,251,FALSE
1,1,0,51,252,FALSE
0,1,1,51,253,FALSE
1,0,1,51,254,FALSE
1,0,1,51,255,TRUE
1,0,0,52,256,FALSE
1,0,1,52,257,TRUE
0,0,0,52,258,FALSE
0,1,1,52,259,FALSE
1,1,0,52,260,FALSE
1,0,1,53,261,FALSE
0,0,0,53,262,FALSE
1,1,0,53,263,FALSE
1,0,1,53,264,TRUE
1,1,0,53,265,FALSE
1,0,1,54,266,FALSE
0,1,1,54,267,TRUE
0,1,1,54,268,FALSE
1,0,0,54,269,FALSE
1,0,0,54,270,FALSE
1,0,0,55,271,FALSE
1,1,0,55,272,FALSE
0,1,1,55,273,TRUE
1,0,1,55,274,FALSE
1,0,0,55,275,FALSE
0,0,0,56,276,FALSE
1,0,0,56,277,FALSE
0,1,1,56,278,FALSE
1,0,1,56,279,TRUE
1,0,1,56,280,FALSE
0,1,1,57,281,FALSE
1,1,0,57,282,FALSE
0,1,1,57,283,TRUE
1,0,1,57,284,FALSE
0,0,0,57,285,FALSE
1,0,1,58,286,TRUE
0,0,0,58,287,FALSE
1,0,0,58,288,FALSE
1,0,0,58,289,FALSE
1,0,0,58,290,FALSE
1,0,1,59,291,FALSE
0,1,1,59,292,TRUE
1,0,1,59,293,FALSE
1,0,1,59,294,FALSE
0,0,0,59,295,FALSE
1,0,1,60,296,FALSE
0,1,1,60,297,FALSE
0,0,0,60,298,FALSE
0,1,1,60,299,TRUE
0,0,0,60,300,FALSE
0,0,0,61,301,FALSE
1,1,0,61,302,FALSE
1,0,0,61,303,FALSE
0,0,0,61,304,FALSE
0,1,1,61,305,TRUE
1,0,0,62,306,FALSE
1,0,0,62,307,FALSE
1,1,0,62,308,FALSE
0,0,0,62,309,FALSE
1,0,1,62,310,TRUE
1,0,1,63,311,FALSE
1,1,0,63,312,FALSE
0,1,1,63,313,FALSE
1,0,1,63,314,TRUE
1,1,0,63,315,FALSE
0,1,1,64,316,TRUE
1,0,0,64,317,FALSE
1,0,0,64,318,FALSE
0,1,1,64,319,FALSE
1,0,1,64,320,FALSE
1,0,0,65,321,FALSE
1,0,1,65,322,TRUE
1,0,1,65,323,FALSE
1,0,0,65,324,FALSE
1,0,0,65,325,FALSE
1,0,1,66,326,TRUE
1,0,1,66,327,FALSE
1,1,0,66,328,FALSE
1,0,1,66,329,FALSE
1,1,0,66,330,FALSE
1,0,0,67,331,FALSE
0,1,1,67,332,FALSE
0,0,0,67,333,FALSE
0,1,1,67,334,TRUE
1,0,0,67,335,FALSE
1,0,0,68,336,FALSE
0,1,1,68,337,FALSE
0,1,1,68,338,TRUE
1,0,1,68,339,FALSE
1,0,1,68,340,FALSE
1,0,1,69,341,TRUE
1,0,1,69,342,FALSE
1,1,0,69,343,FALSE
0,1,1,69,344,FALSE
1,0,0,69,345,FALSE
0,1,1,70,346,FALSE
0,1,1,70,347,FALSE
0,0,0,70,348,FALSE
0,1,1,70,349,TRUE
0,0,0,70,350,FALSE
1,0,0,71,351,FALSE
0,1,1,71,352,FALSE
0,0,0,71,353,FALSE
1,0,1,71,354,TRUE
1,0,0,71,355,FALSE
1,0,0,72,356,FALSE
1,0,1,72,357,TRUE
1,0,0,72,358,FALSE
1,1,0,72,359,FALSE
1,0,0,72,360,FALSE
1,0,0,73,361,FALSE
1,0,1,73,362,TRUE
1,1,0,73,363,FALSE
1,0,0,73,364,FALSE
1,0,1,73,365,FALSE
0,1,1,74,366,TRUE
0,1,1,74,367,FALSE
0,1,1,74,368,FALSE
1,0,1,74,369,FALSE
1,0,0,74,370,FALSE
1,0,0,75,371,FALSE
0,1,1,75,372,FALSE
1,0,0,75,373,FALSE
1,0,0,75,374,FALSE
1,0,1,75,375,TRUE
1,0,0,76,376,FALSE
1,0,0,76,377,FALSE
1,0,1,76,378,TRUE
0,0,0,76,379,FALSE
1,0,0,76,380,FALSE
0,1,1,77,381,FALSE
1,0,0,77,382,FALSE
1,0,1,77,383,FALSE
0,1,1,77,384,TRUE
0,0,0,77,385,FALSE
0,1,1,78,386,TRUE
1,0,1,78,387,FALSE
1,0,0,78,388,FALSE
0,1,1,78,389,FALSE
0,1,1,78,390,FALSE
1,0,1,79,391,FALSE
0,0,0,79,392,FALSE
1,1,0,79,393,FALSE
1,0,0,79,394,FALSE
1,0,1,79,395,TRUE
0,0,0,80,396,FALSE
0,0,0,80,397,FALSE
0,0,0,80,398,FALSE
0,0,0,80,399,FALSE
0,0,0,80,400,FALSE
0,1,1,81,401,FALSE
1,0,1,81,402,TRUE
1,1,0,81,403,FALSE
0,0,0,81,404,FALSE
0,0,0,81,405,FALSE
1,0,1,82,406,FALSE
0,0,0,82,407,FALSE
0,0,0,82,408,FALSE
0,1,1,82,409,FALSE
1,0,1,82,410,TRUE
0,1,1,83,411,FALSE
0,1,1,83,412,TRUE
0,1,1,83,413,FALSE
1,0,1,83,414,FALSE
