"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2018/10/01","00:00","5.241","-","5.62"
"2018/10/01","00:06","5.167","-","5.53"
"2018/10/01","00:12","5.087","-","5.43"
"2018/10/01","00:18","5.003","-","5.37"
"2018/10/01","00:24","4.914","-","5.27"
"2018/10/01","00:30","4.82","-","5.2"
"2018/10/01","00:36","4.722","-","5.13"
"2018/10/01","00:42","4.619","-","5"
"2018/10/01","00:48","4.512","-","4.87"
"2018/10/01","00:54","4.402","-","4.74"
"2018/10/01","01:00","4.288","-","4.6"
"2018/10/01","01:06","4.171","-","4.49"
"2018/10/01","01:12","4.051","-","4.42"
"2018/10/01","01:18","3.928","-","4.28"
"2018/10/01","01:24","3.803","-","4.16"
"2018/10/01","01:30","3.676","-","4.04"
"2018/10/01","01:36","3.547","-","3.89"
"2018/10/01","01:42","3.417","-","3.77"
"2018/10/01","01:48","3.286","-","3.64"
"2018/10/01","01:54","3.154","-","3.51"
"2018/10/01","02:00","3.022","-","3.39"
"2018/10/01","02:06","2.89","-","3.28"
"2018/10/01","02:12","2.759","-","3.15"
"2018/10/01","02:18","2.628","-","3.03"
"2018/10/01","02:24","2.498","-","2.88"
"2018/10/01","02:30","2.37","-","2.76"
"2018/10/01","02:36","2.243","-","2.63"
"2018/10/01","02:42","2.118","-","2.49"
"2018/10/01","02:48","1.996","-","2.39"
"2018/10/01","02:54","1.877","-","2.3"
"2018/10/01","03:00","1.76","-","2.19"
"2018/10/01","03:06","1.647","-","2.08"
"2018/10/01","03:12","1.537","-","2"
"2018/10/01","03:18","1.431","-","1.94"
"2018/10/01","03:24","1.329","-","1.89"
"2018/10/01","03:30","1.231","-","1.79"
"2018/10/01","03:36","1.138","-","1.69"
"2018/10/01","03:42","1.05","-","1.63"
"2018/10/01","03:48","0.966","-","1.55"
"2018/10/01","03:54","0.888","-","1.47"
"2018/10/01","04:00","0.815","-","1.42"
"2018/10/01","04:06","0.747","-","1.37"
"2018/10/01","04:12","0.684","-","1.29"
"2018/10/01","04:18","0.627","-","1.24"
"2018/10/01","04:24","0.576","-","1.23"
"2018/10/01","04:30","0.53","-","1.21"
"2018/10/01","04:36","0.49","-","1.12"
"2018/10/01","04:42","0.455","-","1.07"
"2018/10/01","04:48","0.426","-","1.04"
"2018/10/01","04:54","0.402","-","0.98"
"2018/10/01","05:00","0.384","-","0.95"
"2018/10/01","05:06","0.371","-","0.96"
"2018/10/01","05:12","0.363","-","0.92"
"2018/10/01","05:18","0.36","-","0.94"
"2018/10/01","05:24","0.361","-","0.91"
"2018/10/01","05:30","0.368","-","0.88"
"2018/10/01","05:36","0.379","-","0.89"
"2018/10/01","05:42","0.395","-","0.91"
"2018/10/01","05:48","0.415","-","0.93"
"2018/10/01","05:54","0.439","-","0.89"
"2018/10/01","06:00","0.467","-","0.93"
"2018/10/01","06:06","0.499","-","0.93"
"2018/10/01","06:12","0.534","-","0.92"
"2018/10/01","06:18","0.574","-","0.95"
"2018/10/01","06:24","0.616","-","1.02"
"2018/10/01","06:30","0.662","-","1.1"
"2018/10/01","06:36","0.71","-","1.14"
"2018/10/01","06:42","0.762","-","1.17"
"2018/10/01","06:48","0.817","-","1.27"
"2018/10/01","06:54","0.874","-","1.31"
"2018/10/01","07:00","0.934","-","1.34"
"2018/10/01","07:06","0.997","-","1.44"
"2018/10/01","07:12","1.061","-","1.47"
"2018/10/01","07:18","1.128","-","1.51"
"2018/10/01","07:24","1.197","-","1.58"
"2018/10/01","07:30","1.269","-","1.62"
"2018/10/01","07:36","1.341","-","1.71"
"2018/10/01","07:42","1.416","-","1.79"
"2018/10/01","07:48","1.492","-","1.84"
"2018/10/01","07:54","1.569","-","1.92"
"2018/10/01","08:00","1.648","-","1.98"
"2018/10/01","08:06","1.728","-","2.08"
"2018/10/01","08:12","1.808","-","2.18"
"2018/10/01","08:18","1.889","-","2.24"
"2018/10/01","08:24","1.971","-","2.32"
"2018/10/01","08:30","2.053","-","2.43"
"2018/10/01","08:36","2.135","-","2.55"
"2018/10/01","08:42","2.218","-","2.65"
"2018/10/01","08:48","2.3","-","2.72"
"2018/10/01","08:54","2.382","-","2.81"
"2018/10/01","09:00","2.464","-","2.86"
"2018/10/01","09:06","2.545","-","2.93"
"2018/10/01","09:12","2.625","-","3.05"
"2018/10/01","09:18","2.705","-","3.15"
"2018/10/01","09:24","2.784","-","3.22"
"2018/10/01","09:30","2.861","-","3.28"
"2018/10/01","09:36","2.938","-","3.37"
"2018/10/01","09:42","3.014","-","3.49"
"2018/10/01","09:48","3.088","-","3.56"
"2018/10/01","09:54","3.161","-","3.65"
"2018/10/01","10:00","3.233","-","3.71"
"2018/10/01","10:06","3.303","-","3.77"
"2018/10/01","10:12","3.372","-","3.84"
"2018/10/01","10:18","3.44","-","3.9"
"2018/10/01","10:24","3.505","-","3.97"
"2018/10/01","10:30","3.569","-","4.04"
"2018/10/01","10:36","3.632","-","4.12"
"2018/10/01","10:42","3.692","-","4.2"
"2018/10/01","10:48","3.751","-","4.28"
"2018/10/01","10:54","3.807","-","4.32"
"2018/10/01","11:00","3.862","-","4.36"
"2018/10/01","11:06","3.914","-","4.39"
"2018/10/01","11:12","3.964","-","4.47"
"2018/10/01","11:18","4.011","-","4.51"
"2018/10/01","11:24","4.056","-","4.52"
"2018/10/01","11:30","4.099","-","4.59"
"2018/10/01","11:36","4.138","-","4.63"
"2018/10/01","11:42","4.175","-","4.66"
"2018/10/01","11:48","4.208","-","4.67"
"2018/10/01","11:54","4.238","-","4.71"
"2018/10/01","12:00","4.266","-","4.76"
"2018/10/01","12:06","4.289","-","4.81"
"2018/10/01","12:12","4.31","-","4.84"
"2018/10/01","12:18","4.327","-","4.87"
"2018/10/01","12:24","4.34","-","4.88"
"2018/10/01","12:30","4.35","-","4.88"
"2018/10/01","12:36","4.356","-","4.88"
"2018/10/01","12:42","4.359","-","4.91"
"2018/10/01","12:48","4.358","-","4.92"
"2018/10/01","12:54","4.354","-","4.9"
"2018/10/01","13:00","4.346","-","4.9"
"2018/10/01","13:06","4.335","-","4.86"
"2018/10/01","13:12","4.32","-","4.86"
"2018/10/01","13:18","4.303","-","4.86"
"2018/10/01","13:24","4.282","-","4.81"
"2018/10/01","13:30","4.258","-","4.75"
"2018/10/01","13:36","4.232","-","4.69"
"2018/10/01","13:42","4.202","-","4.65"
"2018/10/01","13:48","4.171","-","4.72"
"2018/10/01","13:54","4.137","-","4.66"
"2018/10/01","14:00","4.1","-","4.59"
"2018/10/01","14:06","4.062","-","4.54"
"2018/10/01","14:12","4.022","-","4.47"
"2018/10/01","14:18","3.981","-","4.44"
"2018/10/01","14:24","3.938","-","4.45"
"2018/10/01","14:30","3.893","-","4.41"
"2018/10/01","14:36","3.848","-","4.34"
"2018/10/01","14:42","3.802","-","4.31"
"2018/10/01","14:48","3.756","-","4.32"
"2018/10/01","14:54","3.709","-","4.26"
"2018/10/01","15:00","3.662","-","4.2"
"2018/10/01","15:06","3.615","-","4.11"
"2018/10/01","15:12","3.568","-","4.05"
"2018/10/01","15:18","3.522","-","4.01"
"2018/10/01","15:24","3.477","-","3.93"
"2018/10/01","15:30","3.432","-","3.9"
"2018/10/01","15:36","3.389","-","3.86"
"2018/10/01","15:42","3.346","-","3.81"
"2018/10/01","15:48","3.306","-","3.75"
"2018/10/01","15:54","3.267","-","3.68"
"2018/10/01","16:00","3.23","-","3.65"
"2018/10/01","16:06","3.195","-","3.63"
"2018/10/01","16:12","3.162","-","3.63"
"2018/10/01","16:18","3.132","-","3.6"
"2018/10/01","16:24","3.104","-","3.54"
"2018/10/01","16:30","3.079","-","3.45"
