time_tick,x_durable_0,x_transient_0,y,curve_id
2024-03-10 12:30:00,0,0,219.0,curve_y
2024-03-10 12:30:01,0,0,221.0,curve_y
2024-03-10 12:30:02,0,0,230.0,curve_y
2024-03-10 12:30:03,0,0,214.0,curve_y
2024-03-10 12:30:04,0,0,208.0,curve_y
2024-03-10 12:30:05,0,0,205.0,curve_y
2024-03-10 12:30:06,0,0,186.0,curve_y
2024-03-10 12:30:07,0,0,168.0,curve_y
2024-03-10 12:30:08,0,0,150.0,curve_y
2024-03-10 12:30:09,0,0,119.0,curve_y
2024-03-10 12:30:10,0,1,120.0,curve_y
2024-03-10 12:30:11,0,0,68.0,curve_y
2024-03-10 12:30:12,0,0,48.0,curve_y
2024-03-10 12:30:13,0,0,26.0,curve_y
2024-03-10 12:30:14,0,0,0.0,curve_y
2024-03-10 12:30:15,0,1,4.0,curve_y
2024-03-10 12:30:16,0,0,0.0,curve_y
2024-03-10 12:30:17,0,0,0.0,curve_y
2024-03-10 12:30:18,0,0,0.0,curve_y
2024-03-10 12:30:19,0,1,23.0,curve_y
2024-03-10 12:30:20,0,0,11.0,curve_y
2024-03-10 12:30:21,0,0,18.0,curve_y
2024-03-10 12:30:22,0,-1,9.0,curve_y
2024-03-10 12:30:23,0,0,37.0,curve_y
2024-03-10 12:30:24,0,0,49.0,curve_y
2024-03-10 12:30:25,0,0,70.0,curve_y
2024-03-10 12:30:26,0,0,88.0,curve_y
2024-03-10 12:30:27,0,0,85.0,curve_y
2024-03-10 12:30:28,0,0,105.0,curve_y
2024-03-10 12:30:29,0,0,110.0,curve_y
2024-03-10 12:30:30,0,0,120.0,curve_y
2024-03-10 12:30:31,0,0,127.0,curve_y
2024-03-10 12:30:32,0,0,139.0,curve_y
2024-03-10 12:30:33,0,0,143.0,curve_y
2024-03-10 12:30:34,0,0,151.0,curve_y
2024-03-10 12:30:35,0,0,150.0,curve_y
2024-03-10 12:30:36,0,0,145.0,curve_y
2024-03-10 12:30:37,0,0,140.0,curve_y
2024-03-10 12:30:38,0,0,131.0,curve_y
2024-03-10 12:30:39,0,0,129.0,curve_y
2024-03-10 12:30:40,0,0,119.0,curve_y
2024-03-10 12:30:41,0,0,109.0,curve_y
2024-03-10 12:30:42,0,0,96.0,curve_y
2024-03-10 12:30:43,0,0,82.0,curve_y
2024-03-10 12:30:44,0,0,77.0,curve_y
2024-03-10 12:30:45,0,0,58.0,curve_y
2024-03-10 12:30:46,0,0,50.0,curve_y
2024-03-10 12:30:47,0,0,34.0,curve_y
2024-03-10 12:30:48,0,-1,3.0,curve_y
2024-03-10 12:30:49,0,-1,0.0,curve_y
